object_id,object_name,object_type,pipeline_id,lat,lon,year,material,created_at,updated_at
62,Object62,pipeline section,MT-01,51.18636369599876,71.45221593110814,2020,Steel-200,2023-01-01,2023-06-01
63,Object63,pipeline section,MT-01,51.186494884478556,71.4523427222564,2000,Concrete,2023-01-01,2023-06-01
64,Object64,pipeline section,MT-01,51.186535930875316,71.45244819311979,2001,Steel-200,2023-01-01,2023-06-01
65,Object65,pipeline section,MT-01,51.18665738493326,71.45259437281905,2002,Concrete,2023-01-01,2023-06-01
66,Object66,pipeline section,MT-01,51.18678681211936,71.452624140478,2003,Steel-200,2023-01-01,2023-06-01
67,Object67,pipeline section,MT-01,51.1868226107403,71.45272526829837,2004,Concrete,2023-01-01,2023-06-01
68,Object68,pipeline section,MT-01,51.18699450467913,71.45283523368556,2005,Steel-200,2023-01-01,2023-06-01
69,Object69,pipeline section,MT-01,51.18703194514052,71.45295782418864,2006,Concrete,2023-01-01,2023-06-01
70,Object70,pipeline section,MT-01,51.1871430602876,71.4530029047201,2007,Steel-200,2023-01-01,2023-06-01
71,Object71,pipeline section,MT-01,51.187203440204975,71.45316272875871,2008,Concrete,2023-01-01,2023-06-01
72,Object72,pipeline section,MT-01,51.18736093606069,71.45326060903956,2009,Steel-200,2023-01-01,2023-06-01
73,Object73,pipeline section,MT-01,51.18746694725354,71.45339001859662,2010,Concrete,2023-01-01,2023-06-01
74,Object74,pipeline section,MT-01,51.18752817515869,71.4534253233157,2011,Steel-200,2023-01-01,2023-06-01
75,Object75,pipeline section,MT-01,51.18765822288237,71.45350385389956,2012,Concrete,2023-01-01,2023-06-01
76,Object76,pipeline section,MT-01,51.187796166072026,71.45366460427238,2013,Steel-200,2023-01-01,2023-06-01
77,Object77,pipeline section,MT-01,51.18783845293055,71.4537479746326,2014,Concrete,2023-01-01,2023-06-01
78,Object78,pipeline section,MT-01,51.1879328747432,71.45388155393036,2015,Steel-200,2023-01-01,2023-06-01
79,Object79,pipeline section,MT-01,51.18802464510676,71.45399269766848,2016,Concrete,2023-01-01,2023-06-01
80,Object80,pipeline section,MT-01,51.18813576123168,71.45407527705419,2017,Steel-200,2023-01-01,2023-06-01
81,Object81,pipeline section,MT-01,51.18823783410672,71.45410756781706,2018,Concrete,2023-01-01,2023-06-01
82,Object82,pipeline section,MT-01,51.1883001410547,71.45425073178383,2019,Steel-200,2023-01-01,2023-06-01
83,Object83,pipeline section,MT-01,51.188454374778935,71.45437501483778,2020,Concrete,2023-01-01,2023-06-01
84,Object84,pipeline section,MT-01,51.188549952261276,71.45448858557297,2000,Steel-200,2023-01-01,2023-06-01
85,Object85,pipeline section,MT-01,51.18864932869402,71.45454663364633,2001,Concrete,2023-01-01,2023-06-01
86,Object86,pipeline section,MT-01,51.18875781121481,71.45462041020743,2002,Steel-200,2023-01-01,2023-06-01
87,Object87,pipeline section,MT-01,51.1888189874866,71.45478789818335,2003,Concrete,2023-01-01,2023-06-01
88,Object88,pipeline section,MT-01,51.18890457536838,71.45487324304294,2004,Steel-200,2023-01-01,2023-06-01
89,Object89,pipeline section,MT-01,51.189057417272174,71.45499687660589,2005,Concrete,2023-01-01,2023-06-01
90,Object90,pipeline section,MT-01,51.18910790202841,71.45505212860883,2006,Steel-200,2023-01-01,2023-06-01
91,Object91,pipeline section,MT-01,51.18929913734969,71.45517524622929,2007,Concrete,2023-01-01,2023-06-01
92,Object92,pipeline section,MT-01,51.189383871867626,71.45526191976613,2008,Steel-200,2023-01-01,2023-06-01
93,Object93,pipeline section,MT-01,51.18945232534813,71.45537740273325,2009,Concrete,2023-01-01,2023-06-01
94,Object94,pipeline section,MT-01,51.189587577532414,71.4554442263446,2010,Steel-200,2023-01-01,2023-06-01
95,Object95,pipeline section,MT-01,51.18962742957271,71.45558931998147,2011,Concrete,2023-01-01,2023-06-01
96,Object96,pipeline section,MT-01,51.18971577118099,71.45561250761229,2012,Steel-200,2023-01-01,2023-06-01
97,Object97,pipeline section,MT-01,51.18988867227523,71.45574578987485,2013,Concrete,2023-01-01,2023-06-01
98,Object98,pipeline section,MT-01,51.18998515704876,71.45586395253203,2014,Steel-200,2023-01-01,2023-06-01
99,Object99,pipeline section,MT-01,51.19009252098095,71.45595540312007,2015,Concrete,2023-01-01,2023-06-01
